2019-08-26 15:05:20.036 [http-nio-8080-exec-7] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:591 - Created connection 1084570638.
2019-08-26 15:05:20.048 [http-nio-8080-exec-7] [DEBUG]  e.c.e.a.dao.UserDaoImpl.eql.getUserById.prepare:116 - select * from sys_user where user_id = ?
2019-08-26 15:05:20.084 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getUserById.params:103 - [1164460514286374912]
2019-08-26 15:05:20.084 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getUserById.eval:110 - select * from sys_user where user_id = '1164460514286374912'
2019-08-26 15:05:20.430 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getUserById.result:22 - SysUser(userId=1164460514286374912, userName=zhong1, phone=18260631671, email=null, password=1f7c7faa0be82af57f3ba308843072ca6e57f66105a0b06017528044ff3a7ce9, salt=4694e56b4d8db9896eb50b9f8b42d4a1, locked=0, roles=[], perms=null, createTime=2019-08-23T00:53:17.000+08:00, updateTime=2019-08-23T00:53:17.000+08:00)
2019-08-26 15:05:20.432 [http-nio-8080-exec-7] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:539 - Returned connection 1084570638 to pool.
2019-08-26 15:05:20.434 [http-nio-8080-exec-7] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:575 - Checked out connection 1084570638 from pool.
2019-08-26 15:05:20.435 [http-nio-8080-exec-7] [DEBUG]  e.c.e.a.dao.UserDaoImpl.eql.getAllRoles.prepare:116 - select ur.role_id, r.role_name, r.role_desc, r.available FROM user_role ur left join role r on ur.role_id=r.role_id where ur.user_id=?
2019-08-26 15:05:20.435 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllRoles.params:103 - [1164460514286374912]
2019-08-26 15:05:20.436 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllRoles.eval:110 - select ur.role_id, r.role_name, r.role_desc, r.available FROM user_role ur left join role r on ur.role_id=r.role_id where ur.user_id='1164460514286374912'
2019-08-26 15:05:20.446 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllRoles.result:48 - total 2 rows: [Role(roleId=1, roleName=role1, roleDesc=desc1, available=1), Role(roleId=2, roleName=role2, roleDesc=desc2, available=1)]
2019-08-26 15:05:20.450 [http-nio-8080-exec-7] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:539 - Returned connection 1084570638 to pool.
2019-08-26 15:05:20.451 [http-nio-8080-exec-7] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:575 - Checked out connection 1084570638 from pool.
2019-08-26 15:05:20.452 [http-nio-8080-exec-7] [DEBUG]  e.c.e.a.dao.UserDaoImpl.eql.getAllPerms.prepare:116 - select p.perm_id, p.perm_name, p.perm_desc FROM user_role ur left join role_perm rp on ur.role_id=rp.role_id inner join perm p on rp.perm_id=p.perm_id WHERE ur.user_id=?
2019-08-26 15:05:20.453 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllPerms.params:103 - [1164460514286374912]
2019-08-26 15:05:20.453 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllPerms.eval:110 - select p.perm_id, p.perm_name, p.perm_desc FROM user_role ur left join role_perm rp on ur.role_id=rp.role_id inner join perm p on rp.perm_id=p.perm_id WHERE ur.user_id='1164460514286374912'
2019-08-26 15:05:20.464 [http-nio-8080-exec-7] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllPerms.result:48 - total 4 rows: [Perm(permId=11, permName=user:create, permDesc=user:create, available=null), Perm(permId=12, permName=user:update, permDesc=user:update, available=null), Perm(permId=13, permName=user:delete, permDesc=user:delete, available=null), Perm(permId=14, permName=user:view, permDesc=user:view, available=null)]
2019-08-26 15:05:20.465 [http-nio-8080-exec-7] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:539 - Returned connection 1084570638 to pool.
2019-08-26 15:07:35.435 [http-nio-8080-exec-1] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:591 - Created connection 1377586801.
2019-08-26 15:07:35.440 [http-nio-8080-exec-1] [DEBUG]  e.c.e.a.dao.UserDaoImpl.eql.getUserById.prepare:116 - select * from sys_user where user_id = ?
2019-08-26 15:07:35.467 [http-nio-8080-exec-1] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getUserById.params:103 - [1164460514286374912]
2019-08-26 15:07:35.468 [http-nio-8080-exec-1] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getUserById.eval:110 - select * from sys_user where user_id = '1164460514286374912'
2019-08-26 15:07:35.555 [http-nio-8080-exec-1] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getUserById.result:22 - SysUser(userId=1164460514286374912, userName=zhong1, phone=18260631671, email=null, password=1f7c7faa0be82af57f3ba308843072ca6e57f66105a0b06017528044ff3a7ce9, salt=4694e56b4d8db9896eb50b9f8b42d4a1, locked=0, roles=[], perms=null, createTime=2019-08-23T00:53:17.000+08:00, updateTime=2019-08-23T00:53:17.000+08:00)
2019-08-26 15:07:35.556 [http-nio-8080-exec-1] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:539 - Returned connection 1377586801 to pool.
2019-08-26 15:07:35.558 [http-nio-8080-exec-1] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:575 - Checked out connection 1377586801 from pool.
2019-08-26 15:07:35.559 [http-nio-8080-exec-1] [DEBUG]  e.c.e.a.dao.UserDaoImpl.eql.getAllRoles.prepare:116 - select ur.role_id, r.role_name, r.role_desc, r.available FROM user_role ur left join role r on ur.role_id=r.role_id where ur.user_id=?
2019-08-26 15:07:35.560 [http-nio-8080-exec-1] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllRoles.params:103 - [1164460514286374912]
2019-08-26 15:07:35.560 [http-nio-8080-exec-1] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllRoles.eval:110 - select ur.role_id, r.role_name, r.role_desc, r.available FROM user_role ur left join role r on ur.role_id=r.role_id where ur.user_id='1164460514286374912'
2019-08-26 15:07:35.571 [http-nio-8080-exec-1] [DEBUG]  e.c.e.album.dao.UserDaoImpl.eql.getAllRoles.result:48 - total 2 rows: [Role(roleId=1, roleName=role1, roleDesc=desc1, available=1), Role(roleId=2, roleName=role2, roleDesc=desc2, available=1)]
2019-08-26 15:07:35.574 [http-nio-8080-exec-1] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:539 - Returned connection 1377586801 to pool.
2019-08-26 15:07:35.575 [http-nio-8080-exec-1] [DEBUG]  org.n3r.eql.trans.SimpleDataSource:575 - Checked out connection 1377586801 from pool.
